Designator,Mid X,Mid Y,Rotation,Layer
D1,114.0,-122.44,90.0,top
D2,114.0,-109.74,90.0,top
D3,114.0,-97.04,90.0,top
J1,114.0,-133.5,0.0,top
Q1,120.0,-120.5,0.0,bottom
Q2,122.5,-126.5,0.0,bottom
Q3,108.0,-120.5,0.0,bottom
R1,114.0,-115.0,0.0,bottom
R2,118.0,-104.0,0.0,bottom
R3,107.5,-104.0,0.0,bottom
U1,114.0,-131.0,180.0,bottom
U2,106.0,-114.0,0.0,top
U3,122.0,-114.0,0.0,top
